"lat","lon"
46.49774,0.62002
46.40908,0.689
49.43957,0.99256
49.47176,1.01628
49.43349,1.0142
49.47499,0.95214
49.44256,0.99476
49.45952,0.97574
49.46973,0.97333
49.45276,1.01214
49.4603,0.98085
41.409693,-8.508238
38.527267,-28.494287
43.58722,3.492
37.904455,-25.770502
37.892502,-25.778203
49.45853,0.99823
49.482,0.99411
36.973492,-25.095222
50.9234,5.37134
51.12016,5.1901
51.12021,5.19009
52.285667,4.818667
52.217139,4.931339
51.3095,6.130167
51.99825,4.4506
45.05504,8.643409
37.89,-4.7
39.6753,-7.93366
48.72,11.37
48.72,11.46
36.94753,-25.09359
36.98321,-25.07023
36.97042,-25.11549
36.98275,-25.04216
36.99303,-25.12055
36.96482,-25.04823
36.97852,-25.05912
37.01033,-25.07517
36.97015,-25.09864
37.00114,-25.06416
36.97834,-25.04789
36.96988,-25.0818
36.97951,-25.12088
36.98799,-25.08696
36.96004,-25.03151
36.96933,-25.04812
36.93292,-25.02659
36.95195,-25.08787
36.96105,-25.09325
36.96491,-25.05385
37.01078,-25.10325
36.98303,-25.059
36.94708,-25.06553
36.96501,-25.05946
36.98914,-25.15997
36.93789,-25.05453
36.93779,-25.04892
36.99663,-25.06427
36.95158,-25.06542
36.96573,-25.10437
36.9878,-25.07573
36.97943,-25.11526
36.94221,-25.04319
36.97815,-25.03666
37.01537,-25.10876
36.98384,-25.10954
37.00104,-25.05854
36.97051,-25.1211
36.99681,-25.07551
36.98375,-25.10392
36.99222,-25.07
36.96979,-25.07619
36.98844,-25.11504
36.99213,-25.06439
36.95734,-25.14389
36.97492,-25.11538
37.0061,-25.09213
36.95284,-25.144
36.96528,-25.0763
36.95645,-25.08775
37.01024,-25.06955
36.96032,-25.04835
36.96023,-25.04273
36.97429,-25.07607
36.99249,-25.08685
36.97925,-25.10403
36.97447,-25.0873
36.96454,-25.03139
36.96078,-25.07641
36.95672,-25.10459
36.96013,-25.03712
36.95681,-25.11021
36.96202,-25.155
36.97456,-25.09292
37.00619,-25.09775
36.96627,-25.13805
36.9377,-25.04331
36.96564,-25.09876
36.9651,-25.06507
36.956,-25.05969
36.94202,-25.03197
36.98437,-25.14323
36.94662,-25.03747
36.95168,-25.07103
36.99365,-25.15986
36.95149,-25.0598
36.98923,-25.16558
36.96059,-25.06519
36.94833,-25.1441
36.94193,-25.02636
36.95609,-25.0653
36.93798,-25.06015
36.95636,-25.08214
36.96644,-25.14928
36.98293,-25.05339
36.94717,-25.07114
36.95293,-25.14961
36.94699,-25.05992
36.96635,-25.14367
36.96141,-25.11571
36.93366,-25.07148
36.93752,-25.03209
36.9468,-25.04869
36.95257,-25.12716
36.94267,-25.07125
36.94383,-25.14421
36.93375,-25.07709
36.9924,-25.08124
37.01051,-25.0864
37.00636,-25.10898
37.00168,-25.09786
36.98284,-25.04777
36.98411,-25.12638
36.99672,-25.06989
36.98762,-25.0645
37.00141,-25.08101
36.98852,-25.12066
36.99203,-25.05877
36.99231,-25.07562
36.9751,-25.1266
37.00159,-25.09224
36.97987,-25.14334
36.98402,-25.12077
36.97889,-25.08157
37.01042,-25.08078
36.9879,-25.08135
36.97483,-25.10976
37.00573,-25.06966
36.97024,-25.10426
36.96997,-25.08742
36.9796,-25.12649
36.95301,-25.15522
36.97861,-25.06473
36.97392,-25.05362
36.96519,-25.07069
36.99709,-25.09235
36.9788,-25.07596
36.96555,-25.09314
37.00628,-25.10336
36.98312,-25.06462
36.96132,-25.11009
36.997,-25.08674
37.006,-25.08651
36.95708,-25.12705
36.99718,-25.09797
36.96158,-25.12694
36.96123,-25.10448
36.95995,-25.02589
36.98861,-25.12627
36.98429,-25.13761
36.95275,-25.13838
36.97465,-25.09853
36.96653,-25.1549
36.93338,-25.05465
36.95769,-25.16634
36.96445,-25.02578
36.96194,-25.14939
36.95743,-25.1495
36.94258,-25.06564
36.9742,-25.07046
36.98771,-25.07012
36.94285,-25.08248
36.94726,-25.07675
36.97843,-25.0535
36.96618,-25.13244
36.94825,-25.13849
36.97824,-25.04227
36.96464,-25.037
36.98348,-25.08708
36.96473,-25.04262
36.94239,-25.05442
36.96582,-25.10998
36.93816,-25.07137
36.93301,-25.0322
36.93347,-25.06026
36.94211,-25.03758
36.96969,-25.07057
36.96167,-25.13255
36.95186,-25.08225
36.93742,-25.02648
36.97059,-25.12671
36.96176,-25.13816
36.93761,-25.0377
36.966,-25.12121
36.94744,-25.08798
36.94735,-25.08237
36.96591,-25.1156
36.96041,-25.05396
36.93329,-25.04904
36.95222,-25.1047
36.9469,-25.0543
36.95266,-25.13277
36.94671,-25.04308
36.93311,-25.03781
36.9423,-25.04881
36.95627,-25.07653
36.93825,-25.07698
36.94643,-25.02624
36.93357,-25.06587
36.99294,-25.11493
36.99321,-25.13178
36.99654,-25.05866
37.01087,-25.10887
36.99312,-25.12616
36.98393,-25.11515
37.00123,-25.06978
37.00132,-25.07539
37.01069,-25.09763
36.9615,-25.12132
36.9833,-25.07585
36.96114,-25.09887
36.99373,-25.16547
36.96942,-25.05373
36.9969,-25.08112
36.97438,-25.08169
36.97978,-25.13772
36.9842,-25.132
36.95761,-25.16073
36.9605,-25.05957
36.97519,-25.13222
36.9887,-25.13189
36.95717,-25.13266
36.95752,-25.15511
36.98753,-25.05889
37.00582,-25.07528
36.97033,-25.10987
36.93807,-25.06576
36.97969,-25.13211
36.94276,-25.07687
36.97006,-25.09303
36.9787,-25.07035
37.0015,-25.08663
36.96185,-25.14378
36.97934,-25.10965
36.94653,-25.03186
36.95231,-25.11032
37.0106,-25.09202
37.00591,-25.0809
36.96609,-25.12683
36.97383,-25.048
36.96069,-25.0708
36.98339,-25.08146
36.95177,-25.07664
36.97501,-25.12099
36.9531,-25.16083
36.97068,-25.13233
36.97898,-25.08719
36.94374,-25.1386
36.97474,-25.10415
36.95319,-25.16645
36.95726,-25.13827
36.94248,-25.06003
36.95618,-25.07091
36.9332,-25.04343
41.018188,28.964199
60.170408,24.925127
52.18,4.51
52.23,4.95
52,4.31
52,4.25
51.31,6.12
51.48,5.23
43.56,12.27
41.9,12.45
50.5,4.47
51.5,0.11
41.87,12.57
41.87,12.57
46.2,6.14
60.19,24.94
59.2,18.3
